,APE,year,month
0,-1.7173315246168782e+24,1950.0,1.0
1,-1.7382352109380775e+24,1950.0,2.0
2,-1.7334942482473092e+24,1950.0,3.0
3,-1.738614869019846e+24,1950.0,4.0
4,-1.7260156151193182e+24,1950.0,5.0
5,-1.743099344118885e+24,1950.0,6.0
6,-1.7568165823711159e+24,1950.0,7.0
7,-1.7606288575068677e+24,1950.0,8.0
8,-1.763093823539659e+24,1950.0,9.0
9,-1.7909565413345094e+24,1950.0,10.0
10,-1.780450918682307e+24,1950.0,11.0
11,-1.7331267388048808e+24,1950.0,12.0
12,-1.7221196212107413e+24,1951.0,1.0
13,-1.7283578383207652e+24,1951.0,2.0
14,-1.7459810406210506e+24,1951.0,3.0
15,-1.7556200749958956e+24,1951.0,4.0
16,-1.753001979669972e+24,1951.0,5.0
17,-1.7536198717329807e+24,1951.0,6.0
18,-1.7650083275062887e+24,1951.0,7.0
19,-1.7749042406673762e+24,1951.0,8.0
20,-1.771974928494804e+24,1951.0,9.0
21,-1.780635066006278e+24,1951.0,10.0
22,-1.767028519464202e+24,1951.0,11.0
23,-1.7286918614098455e+24,1951.0,12.0
24,-1.734354329383079e+24,1952.0,1.0
25,-1.7511518997272162e+24,1952.0,2.0
26,-1.7584591784991377e+24,1952.0,3.0
27,-1.7666985492387716e+24,1952.0,4.0
28,-1.7657321403378141e+24,1952.0,5.0
29,-1.754446469725946e+24,1952.0,6.0
30,-1.7639735975499005e+24,1952.0,7.0
31,-1.77295963000813e+24,1952.0,8.0
32,-1.763223650187184e+24,1952.0,9.0
33,-1.7849288104872382e+24,1952.0,10.0
34,-1.7649942896864032e+24,1952.0,11.0
35,-1.7349214201314003e+24,1952.0,12.0
36,-1.7400454715305144e+24,1953.0,1.0
37,-1.748669401217233e+24,1953.0,2.0
38,-1.7464091045722985e+24,1953.0,3.0
39,-1.7635933977304808e+24,1953.0,4.0
40,-1.7474008889310862e+24,1953.0,5.0
41,-1.7466267037069358e+24,1953.0,6.0
42,-1.7680582208733973e+24,1953.0,7.0
43,-1.7629713010132213e+24,1953.0,8.0
44,-1.7654814480224028e+24,1953.0,9.0
