,APE,year,month
0,-6744222.034550127,1950.0,1.0
1,-6826313.989347385,1950.0,2.0
2,-6807695.507950095,1950.0,3.0
3,-6827804.964365287,1950.0,4.0
4,-6778325.778455747,1950.0,5.0
5,-6845416.179988361,1950.0,6.0
6,-6899285.860447705,1950.0,7.0
7,-6914257.244600244,1950.0,8.0
8,-6923937.541033676,1950.0,9.0
9,-7033358.670618078,1950.0,10.0
10,-6992101.492978217,1950.0,11.0
11,-6806252.242486204,1950.0,12.0
12,-6763025.617952051,1951.0,1.0
13,-6787524.045126219,1951.0,2.0
14,-6856733.040343048,1951.0,3.0
15,-6894586.994044339,1951.0,4.0
16,-6884305.335591941,1951.0,5.0
17,-6886731.891680025,1951.0,6.0
18,-6931456.089230046,1951.0,7.0
19,-6970318.844985892,1951.0,8.0
20,-6958814.990653081,1951.0,9.0
21,-6992824.667520886,1951.0,10.0
22,-6939389.690239099,1951.0,11.0
23,-6788835.804588578,1951.0,12.0
24,-6811073.177354175,1952.0,1.0
25,-6877039.79033364,1952.0,2.0
26,-6905736.585215564,1952.0,3.0
27,-6938093.846988572,1952.0,4.0
28,-6934298.612282404,1952.0,5.0
29,-6889978.067690866,1952.0,6.0
30,-6927392.547350303,1952.0,7.0
31,-6962682.063229594,1952.0,8.0
32,-6924447.390019942,1952.0,9.0
33,-7009686.855004273,1952.0,10.0
34,-6931400.960576765,1952.0,11.0
35,-6813300.228954635,1952.0,12.0
36,-6833423.157962056,1953.0,1.0
37,-6867290.641196286,1953.0,2.0
38,-6858414.11257099,1953.0,3.0
39,-6925899.44484627,1953.0,4.0
40,-6862309.000558649,1953.0,5.0
41,-6859268.657460828,1953.0,6.0
42,-6943433.484249374,1953.0,7.0
43,-6923456.376441583,1953.0,8.0
44,-6933314.105439517,1953.0,9.0
45,-6997073.083609228,1953.0,10.0
46,-6920133.096346368,1953.0,11.0
47,-6753669.717235141,1953.0,12.0
48,-6746724.118582741,1954.0,1.0
49,-6764044.469776048,1954.0,2.0
50,-6822912.976034347,1954.0,3.0
51,-6876823.235055228,1954.0,4.0
52,-6819091.751899655,1954.0,5.0
53,-6822167.602846261,1954.0,6.0
54,-6906090.9562613955,1954.0,7.0
55,-6912515.155526484,1954.0,8.0
56,-6902242.073174001,1954.0,9.0
57,-6925139.731821939,1954.0,10.0
58,-6949103.637608289,1954.0,11.0
59,-6788265.390174587,1954.0,12.0
60,-6727820.218578604,1955.0,1.0
61,-6821747.261035473,1955.0,2.0
62,-6834287.3222000515,1955.0,3.0
63,-6875047.383293179,1955.0,4.0
64,-6859746.357412884,1955.0,5.0
65,-6914731.2630793825,1955.0,6.0
66,-6955359.83918821,1955.0,7.0
67,-6978759.397899496,1955.0,8.0
68,-7016689.081968754,1955.0,9.0
69,-6997714.124798647,1955.0,10.0
70,-7022902.1717835115,1955.0,11.0
71,-6871979.6003594715,1955.0,12.0
72,-6749038.116570029,1956.0,1.0
73,-6837548.406879091,1956.0,2.0
74,-6871741.811014627,1956.0,3.0
75,-6957117.127945128,1956.0,4.0
76,-6887606.727021569,1956.0,5.0
77,-6840423.831886356,1956.0,6.0
78,-6948682.992165218,1956.0,7.0
79,-6936448.539928357,1956.0,8.0
80,-6925894.885401193,1956.0,9.0
81,-6983435.896770315,1956.0,10.0
82,-6946372.7296204455,1956.0,11.0
83,-6859580.079890735,1956.0,12.0
84,-6873510.122896531,1957.0,1.0
85,-6977179.239815706,1957.0,2.0
86,-7003328.426047719,1957.0,3.0
87,-7000823.116891012,1957.0,4.0
88,-6959670.0024506645,1957.0,5.0
89,-6922513.878702556,1957.0,6.0
90,-6972259.170415693,1957.0,7.0
91,-7011156.748962541,1957.0,8.0
92,-7014086.9598495895,1957.0,9.0
93,-7125539.645729449,1957.0,10.0
94,-7028695.494489003,1957.0,11.0
95,-7025202.372756143,1957.0,12.0
96,-7028029.753067162,1958.0,1.0
97,-7119726.197105461,1958.0,2.0
98,-7044947.460340701,1958.0,3.0
99,-7064693.579893428,1958.0,4.0
100,-7014809.126655683,1958.0,5.0
101,-6968206.675303428,1958.0,6.0
102,-6976698.929883675,1958.0,7.0
103,-6927969.160262721,1958.0,8.0
104,-6957649.118750902,1958.0,9.0
105,-7022065.192698433,1958.0,10.0
106,-7064859.631527807,1958.0,11.0
107,-6932075.688086002,1958.0,12.0
108,-6871302.996303058,1959.0,1.0
109,-6955455.111864973,1959.0,2.0
110,-6968760.01375223,1959.0,3.0
111,-6992040.313901461,1959.0,4.0
112,-6956973.176734338,1959.0,5.0
113,-6936100.018415139,1959.0,6.0
